1,55.0,680.0
2,55.0,590.0
3,55.0,535.0
4,55.0,476.0
5,55.0,421.0
6,55.0,367.0
7,55.0,310.0
8,55.0,252.0
9,55.0,197.0
10,55.0,140.0
11,55.0,55.0
12,140.0,55.0
13,197.0,55.0
14,252.0,55.0
15,310.0,55.0
16,367.0,55.0
17,421.0,55.0
18,476.0,55.0
19,535.0,55.0
20,590.0,55.0
21,680.0,55.0
22,680.0,140.0
23,680.0,197.0
24,680.0,252.0
25,680.0,310.0
26,680.0,367.0
27,680.0,421.0
28,680.0,476.0
29,680.0,535.0
30,680.0,590.0
31,680.0,680.0
32,590.0,680.0
33,535.0,680.0
34,476.0,680.0
35,421.0,680.0
36,367.0,680.0
37,310.0,680.0
38,252.0,680.0
39,197.0,680.0
40,140.0,680.0
